time,high,low,close,open
2022-02-27 10:00:00+00:00:00,2817.67,2760.28,2813.77,2770.56
2022-02-27 11:00:00+00:00:00,2831.85,2788.86,2822.38,2813.77
2022-02-27 12:00:00+00:00:00,2835.86,2805.54,2830.6,2822.38
2022-02-27 13:00:00+00:00:00,2832.79,2720.94,2780.64,2830.6
2022-02-27 14:00:00+00:00:00,2788.83,2748.35,2762.47,2780.64
2022-02-27 15:00:00+00:00:00,2820.75,2757.68,2809.83,2762.47
2022-02-27 16:00:00+00:00:00,2810.03,2765.84,2778.09,2809.83
2022-02-27 17:00:00+00:00:00,2779.72,2765.16,2766.63,2778.09
2022-02-27 18:00:00+00:00:00,2769.1,2731.85,2738.85,2766.63
2022-02-27 19:00:00+00:00:00,2748.15,2600.77,2608.04,2738.85
2022-02-27 20:00:00+00:00:00,2658.69,2590.04,2635.2,2608.04
2022-02-27 21:00:00+00:00:00,2638.93,2560.39,2605.01,2635.2
2022-02-27 22:00:00+00:00:00,2640.35,2598.24,2630.45,2605.01
2022-02-27 23:00:00+00:00:00,2632.91,2582.47,2617.32,2630.45
2022-02-28 00:00:00+00:00:00,2626.05,2591.46,2606.43,2617.32
2022-02-28 01:00:00+00:00:00,2680.27,2606.29,2645.46,2606.43
2022-02-28 02:00:00+00:00:00,2653.97,2595.43,2612.11,2645.46
2022-02-28 03:00:00+00:00:00,2620.86,2601.71,2609,2612.11
2022-02-28 04:00:00+00:00:00,2632.97,2603.78,2611.91,2609
2022-02-28 05:00:00+00:00:00,2624.07,2604.95,2611.44,2611.91
2022-02-28 06:00:00+00:00:00,2630.03,2571.64,2606.61,2611.44
2022-02-28 07:00:00+00:00:00,2652.08,2600.56,2636.85,2606.61
2022-02-28 08:00:00+00:00:00,2657.35,2619.37,2627.79,2636.85
2022-02-28 09:00:00+00:00:00,2643.33,2616.55,2616.58,2627.79
2022-02-28 10:00:00+00:00:00,2647.68,2614.63,2640.77,2616.58
2022-02-28 11:00:00+00:00:00,2647.51,2623.67,2642.03,2640.77
2022-02-28 12:00:00+00:00:00,2667.17,2629.17,2636.11,2642.03
2022-02-28 13:00:00+00:00:00,2641.13,2608.98,2619.78,2636.11
2022-02-28 14:00:00+00:00:00,2764.77,2617.18,2759.14,2619.78
2022-02-28 15:00:00+00:00:00,2829.42,2741.31,2817.34,2759.14
2022-02-28 16:00:00+00:00:00,2832.1,2799.16,2811.45,2817.34
2022-02-28 17:00:00+00:00:00,2820.21,2791.53,2816.44,2811.45
2022-02-28 18:00:00+00:00:00,2823.23,2798.05,2809.41,2816.44
2022-02-28 19:00:00+00:00:00,2809.93,2792.67,2807.17,2809.41
2022-02-28 20:00:00+00:00:00,2835.62,2799.14,2832.92,2807.17
2022-02-28 21:00:00+00:00:00,2833.57,2811.26,2821.43,2832.92
2022-02-28 22:00:00+00:00:00,2945.2,2820.06,2910.16,2821.43
2022-02-28 23:00:00+00:00:00,2921.41,2898.64,2919.85,2910.16
2022-03-01 00:00:00+00:00:00,2958.14,2919.48,2944.75,2919.85
2022-03-01 01:00:00+00:00:00,2948.08,2916.38,2917.68,2944.75
2022-03-01 02:00:00+00:00:00,2921.15,2907.67,2917.45,2917.68
2022-03-01 03:00:00+00:00:00,2918.78,2892.99,2913.54,2917.45
